Model                                            , Provider    , Tags            , Input $/1M, Output $/1M, Context, Latency(s), Throughput(t/s), Tools, Structured
CohereLabs/aya-expanse-32b                       , cohere      ,                 , -         , -          , -      , 0.26      , 41             , No   , No
CohereLabs/aya-vision-32b                        , cohere      ,                 , -         , -          , -      , 0.28      , 37             , No   , No
CohereLabs/c4ai-command-a-03-2025                , cohere      ,                 , -         , -          , -      , 0.21      , 60             , Yes  , No
CohereLabs/c4ai-command-r-08-2024                , cohere      ,                 , -         , -          , -      , 0.25      , 48             , Yes  , No
CohereLabs/c4ai-command-r7b-12-2024              , cohere      ,                 , -         , -          , -      , 0.21      , 128            , Yes  , No
CohereLabs/c4ai-command-r7b-arabic-02-2025       , cohere      ,                 , -         , -          , -      , 0.24      , 101            , Yes  , No
CohereLabs/command-a-reasoning-08-2025           , cohere      ,                 , -         , -          , -      , 0.19      , 81             , Yes  , No
CohereLabs/command-a-translate-08-2025           , cohere      ,                 , -         , -          , -      , 0.20      , 64             , Yes  , No
CohereLabs/command-a-vision-07-2025              , cohere      ,                 , -         , -          , -      , 0.14      , 43             , No   , No
EssentialAI/rnj-1-instruct                       , together    ,                 , 0.15      , 0.15       , 32768  , 0.34      , 114            , Yes  , Yes
HuggingFaceTB/SmolLM3-3B                         , hf-inference,                 , -         , -          , -      , 0.12      , 91             , Yes  , Yes
MiniMaxAI/MiniMax-M1-80k                         , novita      ,                 , 0.55      , 2.20       , 1000000, 1.17      , 70             , Yes  , No
MiniMaxAI/MiniMax-M2                             , novita      ,                 , 0.30      , 1.20       , 204800 , 0.95      , 75             , Yes  , No
MiniMaxAI/MiniMax-M2.1                           , novita      ,                 , 0.30      , 1.20       , 204800 , 0.95      , 56             , No   , No
NousResearch/Hermes-2-Pro-Llama-3-8B             , novita      ,                 , 0.14      , 0.14       , 8192   , 0.68      , 106            , No   , No
Qwen/Qwen2.5-72B-Instruct                        , fireworks-ai,                 , -         , -          , -      , -         , -              , -    , -
Qwen/Qwen2.5-72B-Instruct                        , hyperbolic  ,                 , 0.40      , 0.40       , 131072 , 0.74      , 68             , Yes  , No
Qwen/Qwen2.5-72B-Instruct                        , novita      , cheapest        , 0.38      , 0.40       , 32000  , 0.64      , 34             , Yes  , No
Qwen/Qwen2.5-72B-Instruct                        , together    , fastest         , 1.20      , 1.20       , 131072 , 0.31      , 78             , Yes  , Yes
Qwen/Qwen2.5-7B-Instruct                         , together    ,                 , 0.30      , 0.30       , 32768  , 0.29      , 113            , Yes  , Yes
Qwen/Qwen2.5-Coder-32B-Instruct                  , hyperbolic  ,                 , 0.20      , 0.20       , 32768  , 0.46      , 40             , No   , No
Qwen/Qwen2.5-Coder-32B-Instruct                  , nscale      , cheapest        , 0.06      , 0.20       , 131072 , 0.85      , 28             , No   , Yes
Qwen/Qwen2.5-Coder-32B-Instruct                  , scaleway    , fastest         , -         , -          , -      , 0.42      , 70             , Yes  , No
Qwen/Qwen2.5-Coder-32B-Instruct                  , together    ,                 , -         , -          , -      , -         , -              , -    , -
Qwen/Qwen2.5-Coder-3B-Instruct                   , nscale      ,                 , 0.01      , 0.03       , 32768  , 0.71      , 88             , No   , Yes
Qwen/Qwen2.5-Coder-7B-Instruct                   , nscale      ,                 , 0.01      , 0.03       , 131072 , 0.74      , 62             , No   , Yes
Qwen/Qwen2.5-VL-32B-Instruct                     , fireworks-ai,                 , 0.22      , 0.88       , 128000 , 0.23      , 65             , No   , No
Qwen/Qwen2.5-VL-72B-Instruct                     , hyperbolic  , cheapest fastest, 0.60      , 0.60       , 32768  , 0.53      , 43             , No   , No
Qwen/Qwen2.5-VL-72B-Instruct                     , ovhcloud    ,                 , 1.01      , 1.01       , 32768  , 0.43      , 31             , No   , Yes
Qwen/Qwen2.5-VL-7B-Instruct                      , hyperbolic  ,                 , 0.20      , 0.20       , 32768  , 0.41      , 103            , No   , No
Qwen/Qwen3-14B                                   , nscale      ,                 , 0.07      , 0.20       , 40960  , 0.96      , 52             , Yes  , Yes
Qwen/Qwen3-235B-A22B                             , fireworks-ai, fastest         , 0.22      , 0.88       , 131072 , 0.57      , 60             , Yes  , No
Qwen/Qwen3-235B-A22B                             , novita      ,                 , 0.20      , 0.80       , 40960  , 0.83      , 37             , No   , No
Qwen/Qwen3-235B-A22B                             , nscale      , cheapest        , 0.20      , 0.60       , 32000  , 0.95      , 23             , Yes  , Yes
Qwen/Qwen3-235B-A22B                             , together    ,                 , 0.20      , 0.60       , 40960  , 0.44      , 35             , Yes  , Yes
Qwen/Qwen3-235B-A22B-FP8                         , together    ,                 , 0.20      , 0.60       , 40960  , 0.45      , 29             , Yes  , Yes
Qwen/Qwen3-235B-A22B-Instruct-2507               , cerebras    , fastest         , 0.60      , 1.20       , -      , 0.23      , 238            , Yes  , No
Qwen/Qwen3-235B-A22B-Instruct-2507               , fireworks-ai,                 , 0.22      , 0.88       , 262144 , 3.61      , 24             , Yes  , No
Qwen/Qwen3-235B-A22B-Instruct-2507               , hyperbolic  ,                 , 2.00      , 2.00       , 262144 , 0.73      , 53             , Yes  , No
Qwen/Qwen3-235B-A22B-Instruct-2507               , novita      , cheapest        , 0.09      , 0.58       , 131072 , 1.23      , 26             , Yes  , Yes
Qwen/Qwen3-235B-A22B-Instruct-2507               , nscale      ,                 , 0.20      , 0.60       , 32768  , 1.03      , 19             , Yes  , Yes
Qwen/Qwen3-235B-A22B-Instruct-2507               , scaleway    ,                 , -         , -          , -      , 0.48      , 78             , Yes  , Yes
Qwen/Qwen3-235B-A22B-Instruct-2507               , together    ,                 , 0.20      , 0.60       , 262144 , 0.66      , 42             , No   , No
Qwen/Qwen3-235B-A22B-Thinking-2507               , cerebras    ,                 , -         , -          , -      , -         , -              , -    , -
Qwen/Qwen3-235B-A22B-Thinking-2507               , fireworks-ai, cheapest fastest, 0.22      , 0.88       , 262144 , 0.79      , 66             , Yes  , No
Qwen/Qwen3-235B-A22B-Thinking-2507               , novita      ,                 , 0.30      , 3.00       , 131072 , 0.56      , 50             , Yes  , No
Qwen/Qwen3-30B-A3B                               , fireworks-ai,                 , -         , -          , -      , -         , -              , -    , -
Qwen/Qwen3-30B-A3B                               , novita      ,                 , 0.09      , 0.45       , 40960  , 0.79      , 88             , Yes  , No
Qwen/Qwen3-32B                                   , cerebras    , fastest         , 0.40      , 0.80       , -      , 0.26      , 1180           , Yes  , No
Qwen/Qwen3-32B                                   , groq        ,                 , 0.29      , 0.59       , 131072 , 0.13      , 259            , Yes  , No
Qwen/Qwen3-32B                                   , novita      ,                 , 0.10      , 0.45       , 40960  , 0.72      , 38             , No   , No
Qwen/Qwen3-32B                                   , nscale      , cheapest        , 0.08      , 0.25       , 40960  , 0.90      , 28             , Yes  , Yes
Qwen/Qwen3-32B                                   , ovhcloud    ,                 , 0.09      , 0.25       , 32768  , 0.38      , 37             , Yes  , Yes
Qwen/Qwen3-32B                                   , sambanova   ,                 , 0.40      , 0.80       , 32768  , 1.10      , 232            , Yes  , Yes
Qwen/Qwen3-4B-Instruct-2507                      , nscale      ,                 , 0.01      , 0.03       , 262144 , 0.74      , 59             , Yes  , No
Qwen/Qwen3-4B-Thinking-2507                      , nscale      ,                 , 0.01      , 0.03       , 262144 , 0.84      , 95             , Yes  , No
Qwen/Qwen3-8B                                    , nscale      ,                 , 0.07      , 0.18       , 40960  , 0.76      , 58             , Yes  , No
Qwen/Qwen3-Coder-30B-A3B-Instruct                , fireworks-ai,                 , -         , -          , -      , -         , -              , -    , -
Qwen/Qwen3-Coder-30B-A3B-Instruct                , ovhcloud    , cheapest        , 0.07      , 0.26       , 262144 , 0.37      , 43             , Yes  , Yes
Qwen/Qwen3-Coder-30B-A3B-Instruct                , scaleway    , fastest         , -         , -          , -      , 0.38      , 70             , Yes  , No
Qwen/Qwen3-Coder-480B-A35B-Instruct              , cerebras    ,                 , -         , -          , -      , -         , -              , -    , -
Qwen/Qwen3-Coder-480B-A35B-Instruct              , fireworks-ai,                 , 0.45      , 1.80       , 262144 , 0.39      , 63             , Yes  , No
Qwen/Qwen3-Coder-480B-A35B-Instruct              , hyperbolic  , fastest         , 2.00      , 2.00       , 262144 , 0.69      , 73             , Yes  , No
Qwen/Qwen3-Coder-480B-A35B-Instruct              , novita      , cheapest        , 0.30      , 1.30       , 262144 , 0.66      , 54             , Yes  , No
Qwen/Qwen3-Coder-480B-A35B-Instruct              , together    ,                 , 2.00      , 2.00       , 262144 , 0.41      , 60             , Yes  , Yes
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8          , together    ,                 , 2.00      , 2.00       , 262144 , 0.40      , 45             , Yes  , Yes
Qwen/Qwen3-Coder-Next                            , novita      ,                 , 0.20      , 1.50       , 262144 , 0.92      , 141            , Yes  , Yes
Qwen/Qwen3-Coder-Next-FP8                        , together    ,                 , 0.50      , 1.20       , 262144 , 0.65      , 72             , Yes  , Yes
Qwen/Qwen3-Next-80B-A3B-Instruct                 , hyperbolic  , cheapest fastest, 0.30      , 0.30       , 262144 , 0.56      , 170            , Yes  , No
Qwen/Qwen3-Next-80B-A3B-Instruct                 , novita      ,                 , 0.15      , 1.50       , 131072 , 2.85      , 81             , Yes  , No
Qwen/Qwen3-Next-80B-A3B-Instruct                 , together    ,                 , 0.15      , 1.50       , 262144 , 0.40      , 125            , Yes  , Yes
Qwen/Qwen3-Next-80B-A3B-Thinking                 , hyperbolic  , cheapest fastest, 0.30      , 0.30       , 262144 , 0.60      , 188            , Yes  , No
Qwen/Qwen3-Next-80B-A3B-Thinking                 , novita      ,                 , 0.15      , 1.50       , 131072 , 0.84      , 170            , Yes  , No
Qwen/Qwen3-Next-80B-A3B-Thinking                 , together    ,                 , 0.15      , 1.50       , 262144 , 1.06      , 172            , Yes  , Yes
