Model,Provider,Tags,Input $/1M,Output $/1M,Context,Latency(s),Throughput(t/s),Tools,Structured
01-ai/yi-1.5-34b-chat,,Yi;in:text;out:text,,,4096,,,no,no
01-ai/yi-34b,,Yi;in:text;out:text,,,4096,,,no,no
01-ai/yi-34b-200k,,Yi;in:text;out:text,,,200000,,,no,no
01-ai/yi-34b-chat,,Yi;in:text;out:text,,,4096,,,no,no
01-ai/yi-6b,,Yi;in:text;out:text,,,4096,,,no,no
01-ai/yi-large,,Yi;in:text;out:text,,,32768,,,no,no
01-ai/yi-large-fc,,Yi;in:text;out:text,,,16384,,,no,no
01-ai/yi-large-turbo,,Yi;in:text;out:text,,,4096,,,no,no
01-ai/yi-vision,,"Yi;in:text,image;out:text",,,16384,,,no,no
aetherwiing/mn-starcannon-12b,,Mistral;in:text;out:text,,,12000,,,no,no
agentica-org/deepcoder-14b-preview,,Other;reasoning;in:text;out:text,,,96000,,,no,no
ai21/jamba-1-5-large,,Other;in:text;out:text,,,256000,,,no,no
ai21/jamba-1-5-mini,,Other;in:text;out:text,,,256000,,,no,no
ai21/jamba-1.6-large,,Other;in:text;out:text,,,256000,,,no,no
ai21/jamba-1.6-mini,,Other;in:text;out:text,,,256000,,,no,no
ai21/jamba-instruct,,Other;in:text;out:text,,,256000,,,no,no
ai21/jamba-large-1.7,AI21,Other;in:text;out:text;variant:standard;quant:fp8,2.000000,8.000000,256000,,,yes,yes
ai21/jamba-mini-1.7,,Other;in:text;out:text,,,256000,,,no,no
aion-labs/aion-1.0,AionLabs,Other;reasoning;in:text;out:text;variant:standard;quant:unknown,4.000000,8.000000,131072,,,no,no
aion-labs/aion-1.0-mini,AionLabs,Other;reasoning;in:text;out:text;variant:standard;quant:bf16,0.700000,1.400000,131072,,,no,no
aion-labs/aion-rp-llama-3.1-8b,AionLabs,Other;in:text;out:text;variant:standard;quant:unknown,0.800000,1.600000,32768,,,no,no
alfredpros/codellama-7b-instruct-solidity,Featherless,Other;in:text;out:text;variant:standard;quant:unknown,0.800000,1.200000,4096,,,no,no
alibaba/tongyi-deepresearch-30b-a3b,AtlasCloud,Other;reasoning;in:text;out:text;variant:standard;quant:fp8,0.090000,0.450000,131072,,,yes,yes
all-hands/openhands-lm-32b-v0.1,,Other;in:text;out:text,,,131072,,,no,no
allenai/llama-3.1-tulu-3-405b,,Other;in:text;out:text,,,,,,no,no
allenai/molmo-2-8b,Parasail,"Other;in:text,image,video;out:text;variant:standard;quant:bf16",0.200000,0.200000,36864,,,no,no
allenai/olmo-2-0325-32b-instruct,Cirrascale,Other;in:text;out:text;variant:standard;quant:unknown,0.050000,0.200000,128000,,,no,no
allenai/olmo-3-32b-think,Parasail,Other;reasoning;in:text;out:text;variant:standard;quant:bf16,0.150000,0.500000,65536,,,no,yes
allenai/olmo-3-7b-instruct,Parasail,Other;in:text;out:text;variant:standard;quant:bf16,0.100000,0.200000,65536,,,no,yes
allenai/olmo-3-7b-think,Parasail,Other;reasoning;in:text;out:text;variant:standard;quant:bf16,0.120000,0.200000,65536,,,no,yes
allenai/olmo-3.1-32b-instruct,DeepInfra,Other;in:text;out:text;variant:standard;quant:unknown,0.200000,0.600000,65536,,,yes,yes
allenai/olmo-3.1-32b-think,Parasail,Other;reasoning;in:text;out:text;variant:standard;quant:bf16,0.150000,0.500000,65536,,,no,yes
allenai/olmo-7b-instruct,,Other;in:text;out:text,,,2048,,,no,no
alpindale/goliath-120b,Mancer,Llama2;in:text;out:text;variant:standard;quant:int4,3.750000,7.500000,6144,,,no,yes
alpindale/magnum-72b,,Qwen;in:text;out:text,,,16384,,,no,no
amazon/nova-2-lite-v1,Amazon Bedrock,"Nova;reasoning;in:text,image,video,file;out:text;variant:standard;quant:unknown",0.300000,2.500000,1000000,,,yes,no
amazon/nova-lite-v1,Amazon Bedrock,"Nova;in:text,image;out:text;variant:standard;quant:unknown",0.060000,0.240000,300000,,,yes,no
amazon/nova-micro-v1,Amazon Bedrock,Nova;in:text;out:text;variant:standard;quant:unknown,0.035000,0.140000,128000,,,yes,no
amazon/nova-premier-v1,Amazon Bedrock,"Nova;in:text,image;out:text;variant:standard;quant:unknown",2.500000,12.500000,1000000,,,yes,no
amazon/nova-pro-v1,Amazon Bedrock,"Nova;in:text,image;out:text;variant:standard;quant:unknown",0.800000,3.200000,300000,,,yes,no
anthracite-org/magnum-v2-72b,,Qwen;in:text;out:text,,,32768,,,no,no
anthracite-org/magnum-v4-72b,Mancer,Qwen;in:text;out:text;variant:standard;quant:fp8,3.000000,5.000000,16384,,,no,yes
anthropic/claude-1,,Claude;in:text;out:text,,,100000,,,no,no
anthropic/claude-1.2,,Claude;in:text;out:text,,,100000,,,no,no
anthropic/claude-2,,Claude;in:text;out:text,,,200000,,,no,no
anthropic/claude-2.0,,Claude;in:text;out:text,,,100000,,,no,no
anthropic/claude-2.1,,Claude;in:text;out:text,,,200000,,,no,no
anthropic/claude-3-haiku,Anthropic,"Claude;in:text,image;out:text;variant:standard;quant:unknown",0.250000,1.250000,200000,,,yes,no
anthropic/claude-3-opus,,"Claude;in:text,image;out:text",,,200000,,,no,no
anthropic/claude-3-sonnet,,"Claude;in:text,image;out:text",,,200000,,,no,no
anthropic/claude-3.5-haiku,Amazon Bedrock,"Claude;in:text,image;out:text;variant:standard;quant:unknown",0.800000,4.000000,200000,,,yes,no
anthropic/claude-3.5-haiku-20241022,,"Claude;in:text,image,file;out:text",,,200000,,,no,no
anthropic/claude-3.5-sonnet,Amazon Bedrock,"Claude;in:text,image,file;out:text;variant:standard;quant:unknown",6.000000,30.000000,200000,,,yes,no
anthropic/claude-3.5-sonnet-20240620,,"Claude;in:text,image,file;out:text",,,200000,,,no,no
anthropic/claude-3.7-sonnet,Google Vertex,"Claude;reasoning;in:text,image,file;out:text;variant:standard;quant:unknown",3.000000,15.000000,200000,,,yes,no
anthropic/claude-3.7-sonnet,Google Vertex,"Claude;reasoning;in:text,image,file;out:text;variant:thinking;quant:unknown",3.000000,15.000000,200000,,,yes,no
anthropic/claude-haiku-4.5,Google Vertex,"Claude;reasoning;in:image,text;out:text;variant:standard;quant:unknown",1.000000,5.000000,200000,,,yes,no
anthropic/claude-instant-1,,Claude;in:text;out:text,,,100000,,,no,no
anthropic/claude-instant-1.0,,Claude;in:text;out:text,,,100000,,,no,no
anthropic/claude-instant-1.1,,Claude;in:text;out:text,,,100000,,,no,no
anthropic/claude-opus-4,Amazon Bedrock,"Claude;reasoning;in:image,text,file;out:text;variant:standard;quant:unknown",15.000000,75.000000,200000,,,yes,no
anthropic/claude-opus-4.1,Amazon Bedrock,"Claude;reasoning;in:image,text,file;out:text;variant:standard;quant:unknown",15.000000,75.000000,200000,,,yes,no
anthropic/claude-opus-4.5,Anthropic,"Claude;reasoning;in:file,image,text;out:text;variant:standard;quant:unknown",5.000000,25.000000,200000,,,yes,yes
anthropic/claude-opus-4.6,Anthropic,"Claude;reasoning;in:text,image;out:text;variant:standard;quant:unknown",5.000000,25.000000,1000000,,,yes,yes
anthropic/claude-sonnet-4,Google Vertex,"Claude;reasoning;in:image,text,file;out:text;variant:standard;quant:unknown",3.000000,15.000000,1000000,,,yes,no
anthropic/claude-sonnet-4.5,Google Vertex,"Claude;reasoning;in:text,image,file;out:text;variant:standard;quant:unknown",3.000000,15.000000,1000000,,,yes,no
arcee-ai/afm-4.5b,,Other;in:text;out:text,,,65536,,,no,no
arcee-ai/arcee-blitz,,Other;in:text;out:text,,,32768,,,no,no
arcee-ai/caller-large,,Other;in:text;out:text,,,32768,,,no,no
arcee-ai/coder-large,Together,Other;in:text;out:text;variant:standard;quant:unknown,0.500000,0.800000,32768,,,no,no
arcee-ai/maestro-reasoning,Together,Other;in:text;out:text;variant:standard;quant:unknown,0.900000,3.300000,131072,,,no,no
arcee-ai/spotlight,Together,"Other;in:image,text;out:text;variant:standard;quant:unknown",0.180000,0.180000,131072,,,no,no
arcee-ai/trinity-large-preview,Arcee AI,Other;in:text;out:text;variant:free;quant:unknown,0.000000,0.000000,131000,,,yes,yes
arcee-ai/trinity-mini,Arcee AI,Other;reasoning;in:text;out:text;variant:free;quant:bf16,0.000000,0.000000,131072,,,yes,yes
arcee-ai/trinity-mini,Clarifai,Other;reasoning;in:text;out:text;variant:standard;quant:bf16,0.045000,0.150000,131072,,,yes,yes
arcee-ai/virtuoso-large,Together,Other;in:text;out:text;variant:standard;quant:unknown,0.750000,1.200000,131072,,,yes,no
arcee-ai/virtuoso-medium-v2,,Other;in:text;out:text,,,131072,,,no,no
arliai/qwq-32b-arliai-rpr-v1,,Other;reasoning;in:text;out:text,,,32768,,,no,no
baai/bge-base-en-v1.5,DeepInfra,Other;in:text;out:embeddings;variant:standard;quant:unknown,0.005000,0.000000,512,,,no,yes
baai/bge-large-en-v1.5,DeepInfra,Other;in:text;out:embeddings;variant:standard;quant:unknown,0.010000,0.000000,512,,,no,yes
baai/bge-m3,DeepInfra,Other;in:text;out:embeddings;variant:standard;quant:fp32,0.010000,0.000000,8192,,,no,yes
baidu/ernie-4.5-21b-a3b,NovitaAI,Other;reasoning;in:text;out:text;variant:standard;quant:bf16,0.070000,0.280000,120000,,,yes,no
baidu/ernie-4.5-21b-a3b-thinking,NovitaAI,Other;reasoning;in:text;out:text;variant:standard;quant:fp8,0.070000,0.280000,131072,,,no,no
baidu/ernie-4.5-300b-a47b,NovitaAI,Other;in:text;out:text;variant:standard;quant:bf16,0.280000,1.100000,123000,,,no,yes
baidu/ernie-4.5-vl-28b-a3b,NovitaAI,"Other;reasoning;in:text,image;out:text;variant:standard;quant:fp16",0.140000,0.560000,30000,,,yes,no
baidu/ernie-4.5-vl-424b-a47b,NovitaAI,"Other;reasoning;in:image,text;out:text;variant:standard;quant:fp16",0.420000,1.250000,123000,,,no,no
bigcode/starcoder2-15b-instruct,,Other;in:text;out:text,,,16384,,,no,no
black-forest-labs/flux.2-flex,Black Forest Labs,"Other;in:text,image;out:image;variant:standard;quant:unknown",0.000000,0.000000,67344,,,no,no
black-forest-labs/flux.2-klein-4b,Black Forest Labs,"Other;in:text,image;out:image;variant:standard;quant:unknown",0.000000,0.000000,40960,,,no,no
black-forest-labs/flux.2-max,Black Forest Labs,"Other;in:text,image;out:image;variant:standard;quant:unknown",0.000000,0.000000,46864,,,no,no
black-forest-labs/flux.2-pro,Black Forest Labs,"Other;in:text,image;out:image;variant:standard;quant:unknown",0.000000,0.000000,46864,,,no,no
bytedance-research/ui-tars-72b,,"Other;in:text,image;out:text",,,32768,,,no,no
bytedance-seed/seed-1.6,Seed,"Other;reasoning;in:image,text,video;out:text;variant:standard;quant:fp8",0.250000,2.000000,262144,,,yes,yes
bytedance-seed/seed-1.6-flash,Seed,"Other;reasoning;in:image,text,video;out:text;variant:standard;quant:fp8",0.075000,0.300000,262144,,,yes,yes
bytedance-seed/seedream-4.5,Seed,"Other;in:image,text;out:image;variant:standard;quant:unknown",0.000000,0.000000,4096,,,no,no
bytedance/seed-oss-36b-instruct,,Other;reasoning;in:text;out:text,,,131072,,,no,no
bytedance/ui-tars-1.5-7b,Parasail,"Other;in:image,text;out:text;variant:standard;quant:bf16",0.100000,0.200000,128000,,,no,no
cognitivecomputations/dolphin-llama-3-70b,,Llama3;in:text;out:text,,,8192,,,no,no
cognitivecomputations/dolphin-mistral-24b-venice-edition,Venice,Other;in:text;out:text;variant:free;quant:fp16,0.000000,0.000000,32768,,,no,yes
cognitivecomputations/dolphin-mixtral-8x22b,,Mistral;in:text;out:text,,,65536,,,no,no
cognitivecomputations/dolphin-mixtral-8x7b,,Mistral;in:text;out:text,,,32768,,,no,no
cognitivecomputations/dolphin3.0-mistral-24b,,Mistral;in:text;out:text,,,32768,,,no,no
cognitivecomputations/dolphin3.0-r1-mistral-24b,,Mistral;reasoning;in:text;out:text,,,32768,,,no,no
cohere/command,,Cohere;in:text;out:text,,,4096,,,no,no
